"Hallets.Forehead" "Postscript.Forehead" "Starratt.Forehead" "Coachmen.Forehead" "Gibbon.Forehead" "Trimmer.Forehead" "Innitou.Forehead" "Tewmac.Forehead" "Cochituate.Forehead" "Mariposa.Forehead" "Wilbraview.Forehead" "Caryll.Forehead" "Westbora.Forehead" "Janis.Forehead" "Pinrock.Forehead" "Elmavenue.Forehead" "Shadyside.Forehead" "Loveland.Forehead" "Cornstalk.Forehead" "Hager.Forehead" "Nobscot.Forehead" "Lonergan.Forehead" "Lippokd.Forehead" "Malfa.Forehead" "Merchants.Forehead" "Flagstone.Forehead" "Sylvanus.Forehead" "Fermanagh.Forehead" "Winifreds.Forehead" "Woodfin.Forehead" "Reacher.Forehead" "Netta.Forehead" "Goddu.Forehead" "Azalea.Forehead" "Patmos.Forehead" "Trafford.Forehead" "Vinedale.Forehead" "Padanaram.Forehead" "Innkeeper.Forehead" "Cowan.Forehead" "Watoguadoc.Forehead" "Meadowlands.Forehead" "Pasho.Forehead"
"s__bacteriovorus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 2 0 0 0 0 0
"s__balearica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__barengoltzii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bifida" 0 0 5.20945336562895 2.58496250072116 1 0 5.04439411935845 0 0 1 0 0 4.4594316186373 2.58496250072116 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"s__bifidum" 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"s__biforme" 0 0 0 0 0 0 0 0 0 3.16992500144231 0 2.32192809488736 4.32192809488736 5.4262647547021 0 0 0 1 0 0 0 0 0 5 0 0 3.58496250072116 0 0 1 2.58496250072116 0 0 2.58496250072116 0 0 0 1 0 0 0 0 1
"s__biprosthecium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bispora" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__boronitolerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bowmanii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__brevis" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 1 0 0 0
"s__bryantii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bryophila" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__C21_c20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__caccae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"s__caeni" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__campisalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__canimorsus" 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cateniformis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
