"Hallets.Forehead" "Postscript.Forehead" "Starratt.Forehead" "Coachmen.Forehead" "Gibbon.Forehead" "Trimmer.Forehead" "Innitou.Forehead" "Tewmac.Forehead" "Cochituate.Forehead" "Mariposa.Forehead" "Wilbraview.Forehead" "Caryll.Forehead" "Westbora.Forehead" "Janis.Forehead" "Pinrock.Forehead" "Elmavenue.Forehead" "Shadyside.Forehead" "Loveland.Forehead" "Cornstalk.Forehead" "Hager.Forehead" "Nobscot.Forehead" "Lonergan.Forehead" "Lippokd.Forehead" "Malfa.Forehead" "Merchants.Forehead" "Flagstone.Forehead" "Sylvanus.Forehead" "Fermanagh.Forehead" "Winifreds.Forehead" "Woodfin.Forehead" "Reacher.Forehead" "Netta.Forehead" "Goddu.Forehead" "Azalea.Forehead" "Patmos.Forehead" "Trafford.Forehead" "Vinedale.Forehead" "Padanaram.Forehead" "Innkeeper.Forehead" "Cowan.Forehead" "Watoguadoc.Forehead" "Meadowlands.Forehead" "Pasho.Forehead"
"s__parainfluenzae" 6.4757334309664 5.58496250072116 7.53915881110803 6.70043971814109 5.16992500144231 8.43045255166553 3.4594316186373 6.96578428466209 8.23840473932508 5.70043971814109 4.08746284125034 7.84549005094437 8.26209484537018 4.58496250072116 7.51569983828404 6.39231742277876 7.36632221424582 6.35755200461808 3 6.4594316186373 5 8.43879185257826 9.40726776424473 7.38370429247405 7.95419631038687 4.85798099512757 6.85798099512757 5.83289001416474 5.8073549220576 10.7992816215219 9.87958324961278 7.67948009950545 7.91288933622996 7.38370429247405 6.68650052718322 10.103287808412 6.71424551766612 5.75488750216347 8.33539035469392 10.2070143201775 6.98868468677217 6.5077946401987 8.35755200461808
"s__parvula" 3.70043971814109 1 5.04439411935845 4.24792751344359 3.4594316186373 5.55458885167764 1.58496250072116 4.70043971814109 4.90689059560852 3 3.16992500144231 4 5.52356195605701 3.4594316186373 4.08746284125034 4.16992500144231 4.64385618977472 4.64385618977472 2.8073549220576 4.39231742277876 3.8073549220576 6.3037807481771 5.04439411935845 6.08746284125034 4.58496250072116 1 6.3037807481771 3 4.08746284125034 7.21916852046216 5.75488750216347 5 6.71424551766612 3 4.85798099512757 4.52356195605701 5.16992500144231 0 4.58496250072116 7.53915881110803 3.90689059560852 6.84549005094437 5.78135971352466
"s__pasteurianum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__paucivorans" 0 0 5.20945336562895 6.44294349584873 3.8073549220576 0 8.57364718749332 2.58496250072116 0 8.69348695749932 0 0 2 5.6724253419715 0 2.8073549220576 4.32192809488736 0 0 2 0 0 4.95419631038687 3.58496250072116 5.08746284125034 2 0 0 3.58496250072116 0 0 0 2.32192809488736 4.08746284125034 0 0 3.58496250072116 0 1 2.32192809488736 0 3.58496250072116 0
"s__perfringens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__petroleiphilum" 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2.58496250072116 0 1 2 0 0 0 0 0 1.58496250072116 0 0 2 0 2.32192809488736 0 0 1 0 0 1 0 0
"s__pettenkoferi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__plebeius" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 3.90689059560852 0 0 3.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0
"s__porcinus" 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 1 2 0 0 0
"s__porphyrae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__prausnitzii" 0 0 6.24792751344359 0 2.8073549220576 1 1 1 2.32192809488736 1.58496250072116 1.58496250072116 2.8073549220576 7.4757334309664 5.16992500144231 1 2.58496250072116 0 1.58496250072116 0 0 2 0 2 3.4594316186373 0 3 3 3.16992500144231 0 3 2.58496250072116 3 0 4.85798099512757 4.85798099512757 3 2.58496250072116 1 0 0 1 4.64385618977472 2
"s__producta" 2.58496250072116 2 0 0 0 0 1 0 2.8073549220576 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 3.16992500144231 0
"s__pseudolongum" 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"s__psychrolactophilus" 0 0 1 0 0 2.32192809488736 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1.58496250072116 0 3.4594316186373 0 0 0 0 0 0 0 0 0 0
"s__psychrophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__psychrotolerans" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2.58496250072116 0 0 0 1 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__pulmonis" 3.16992500144231 1.58496250072116 0 0 1 0 3.32192809488736 1 0 0 0 2 2.8073549220576 0 0 0 2 0 0 0 5.28540221886225 0 1.58496250072116 2.32192809488736 0 3.8073549220576 2 0 0 0 1.58496250072116 0 3 0 0 3.16992500144231 3.58496250072116 0 1 3.16992500144231 0 0 0
"s__ramosa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ramosum" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"s__rectus" 2.58496250072116 0 1 0 3.32192809488736 3 0 2.8073549220576 0 2.32192809488736 0 0 2.8073549220576 0 0 0 0 0 0 0 1 0 4.08746284125034 2 4.16992500144231 0 3.32192809488736 0 0 2.58496250072116 0 0 4.39231742277876 0 4.4594316186373 2 1.58496250072116 0 4.75488750216347 5.24792751344359 6.06608919045777 0 5.12928301694497
"s__reuszeri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__reuteri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rhizophila" 4.52356195605701 1.58496250072116 3.90689059560852 2.32192809488736 5.08746284125034 5.4594316186373 4.64385618977472 2.8073549220576 1.58496250072116 4.52356195605701 4.64385618977472 1.58496250072116 4.90689059560852 3 7.94251450533924 3 0 0 0 6.84549005094437 3.16992500144231 5.04439411935845 3.4594316186373 0 1.58496250072116 4.32192809488736 0 0 4.64385618977472 5.20945336562895 5.08746284125034 3.58496250072116 3.58496250072116 6.6724253419715 4.64385618977472 1 3.70043971814109 0 4.75488750216347 5.90689059560852 0 0 3.8073549220576
"s__rhizosphaerae" 0 0 0 0 0 2 2.32192809488736 1 0 3.32192809488736 0 3.8073549220576 1 2 0 0 1 1 1 3.58496250072116 2.58496250072116 3.70043971814109 0 2.32192809488736 4.8073549220576 0 0 0 0 2.8073549220576 1 0 3.70043971814109 1 0 1 1 0 0 3.90689059560852 1.58496250072116 2.8073549220576 1.58496250072116
"s__rhizovicinus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 3.58496250072116 0 0 0 2 0 5.20945336562895 0 0 0 0 0 0 0 0 0 0 0
"s__rimae" 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 6.06608919045777 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rosea" 0 0 0 0 0 1 2.8073549220576 1 0 0 0 0 2 0 0 0 1.58496250072116 0 0 2.32192809488736 0 0 1 3.58496250072116 0 1.58496250072116 0 0 3.8073549220576 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"s__ruber" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rugosa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ruminis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rumoiensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__saccharolyticum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__salaria" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__salsilacus" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
"s__SCA1145" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__SCA1170" 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__schaedleri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__schindleri" 5.39231742277876 4.16992500144231 4.64385618977472 6.20945336562895 6.04439411935845 5.28540221886225 4.90689059560852 5.85798099512757 7 6.2667865406949 6.75488750216347 6.78135971352466 5.12928301694497 5.49185309632967 6.28540221886225 6.56985560833095 6.74146698640115 6.90689059560852 3.58496250072116 6.78135971352466 6.56985560833095 4.64385618977472 5.32192809488736 6.20945336562895 6.2667865406949 6.75488750216347 6.02236781302845 6.79441586635011 6.61470984411521 5.04439411935845 5.93073733756289 7.58496250072116 7.24792751344359 7.12928301694497 7.75488750216347 6.8703647195834 5.78135971352466 6.3037807481771 5.70043971814109 5.88264304936184 5.93073733756289 6.88264304936184 5.49185309632967
"s__sciuri" 1.58496250072116 0 1 0 1.58496250072116 1.58496250072116 1.58496250072116 1 1.58496250072116 1 1.58496250072116 3.4594316186373 1 2 0 0 0 1 0 2 2.58496250072116 2.58496250072116 3 1 0 1.58496250072116 1.58496250072116 1 0 2.32192809488736 1 0 1 0 0 1 1 2 1 2 1.58496250072116 2.58496250072116 0
"s__segnis" 2 1 0 0 3.32192809488736 2.8073549220576 1 4.16992500144231 0 3.58496250072116 0 0 4.8073549220576 3 0 3 0 1 3.32192809488736 1 0 1.58496250072116 4.4594316186373 0 4.4594316186373 0 6 0 1.58496250072116 6.08746284125034 4.58496250072116 1 4.08746284125034 0 0 5.12928301694497 0 0 2 6.24792751344359 12.0566377151132 1 4.64385618977472
"s__selenatarsenatis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__serinedens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__shigelloides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__simulans" 5.35755200461808 4.64385618977472 8.92481250360578 6.32192809488736 8.83920378809694 8.64024493622235 9.24317398347295 7.51569983828404 5.4594316186373 6.58496250072116 3.70043971814109 5.6724253419715 8.1548181090521 7.73470962022584 6.12928301694497 6.08746284125034 5.39231742277876 3.32192809488736 1 5.83289001416474 5.78135971352466 4.24792751344359 6.94251450533924 5.88264304936184 8.25738784269265 4.39231742277876 9.50977500432694 4.08746284125034 6.56985560833095 7.4757334309664 6.12928301694497 5.16992500144231 3.8073549220576 8.20945336562895 7.84549005094437 0 7.89481776330794 4.39231742277876 4.16992500144231 6.18982455888002 4.52356195605701 2.58496250072116 2.58496250072116
"s__socranskii" 0 0 0 0 0 3.8073549220576 1 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 2.8073549220576 1 0 0 0 0 1.58496250072116 2.32192809488736 0 0 0 0 0 0 0 1.58496250072116 1.58496250072116 0 3.4594316186373 0
"s__somerae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stationis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stercorea" 0 0 1 0 0 0 0 0 0 4.08746284125034 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1
"s__stercoris" 0 0 1 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stuartii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 2.32192809488736 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stutzeri" 2.32192809488736 1.58496250072116 2 2 3.70043971814109 5.8073549220576 3.58496250072116 1 4.4594316186373 0 3.58496250072116 3.90689059560852 0 2.32192809488736 3 2.32192809488736 6.5077946401987 3.32192809488736 1 2.32192809488736 3.58496250072116 2.32192809488736 2.32192809488736 2 3 3.58496250072116 2.8073549220576 3.90689059560852 3.58496250072116 2.58496250072116 2 4.58496250072116 4.16992500144231 5.24792751344359 2.32192809488736 3.16992500144231 7.11894107272351 3.4594316186373 3.70043971814109 3.4594316186373 0 3.16992500144231 1.58496250072116
"s__stygium" 0 0 0 0 0 3.58496250072116 0 0 3.4594316186373 0 2.8073549220576 0 0 0 1.58496250072116 2.8073549220576 0 0 0 0 0 0 0 1 0 0 3.16992500144231 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 2 2 3.70043971814109 3.16992500144231
"s__subflava" 4.64385618977472 4.8073549220576 5.75488750216347 4.39231742277876 4.58496250072116 5.39231742277876 4.8073549220576 8.55842071326866 7.6724253419715 5.4262647547021 4.16992500144231 5.58496250072116 8.20945336562895 4.8073549220576 5.04439411935845 5.61470984411521 6.44294349584873 5.8073549220576 4.32192809488736 3.90689059560852 4.16992500144231 7.4262647547021 7.18982455888002 5.7279204545632 7.13955135239879 2.32192809488736 4.52356195605701 2.8073549220576 4.24792751344359 8.78135971352466 6.79441586635011 6.58496250072116 4.58496250072116 6.37503943134692 5.08746284125034 8.33985000288462 6.7279204545632 4.52356195605701 9.53138146051631 9.16490692667569 11.0741414627525 2.8073549220576 7.22881869049588
"s__subterminale" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__subterranea" 0 0 4.32192809488736 2.58496250072116 2.58496250072116 1.58496250072116 2.58496250072116 5.08746284125034 2 2.32192809488736 1.58496250072116 2.58496250072116 3.4594316186373 1 3.90689059560852 2 6.4757334309664 0 0 5.16992500144231 0 0 0 0 2 5.04439411935845 0 0 2 1 4.64385618977472 0 1 4.32192809488736 2.8073549220576 3 0 0 4.52356195605701 7.25738784269265 2.8073549220576 1 0
"s__succinicans" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__succinus" 0 0 0 0 0 1.58496250072116 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"s__tannerae" 3.8073549220576 2 1.58496250072116 2 2 5 1 0 0 0 0 0 4.90689059560852 0 0 0 0 0 0 0 0 0 2 2.8073549220576 3.32192809488736 0 0 0 0 5.16992500144231 0 0 0 0 0 0 3 0 0 4.85798099512757 0 1.58496250072116 6.32192809488736
"s__Taxon" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"s__tenuis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"s__thermodenitrificans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__toletana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__torques" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__transvaalensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__tropica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__umsongensis" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0
"s__uniformis" 2 1 6.06608919045777 2 2 2.58496250072116 1 0 0 1 2 2.8073549220576 3.32192809488736 3.58496250072116 1.58496250072116 3.90689059560852 0 0 0 1.58496250072116 1 3 0 0 1.58496250072116 3.58496250072116 0 2.32192809488736 1 3 4.4594316186373 0 3.4594316186373 1.58496250072116 2.32192809488736 0 0 0 1 2.32192809488736 2 4.08746284125034 0
"s__variabile" 0 0 1.58496250072116 0 0 1.58496250072116 1 1.58496250072116 0 0 0 0 0 1 0 1.58496250072116 0 1 0 0 1 0 2 0 1 0 1.58496250072116 1 0 1.58496250072116 0 1 1 1 0 1 1 1 0 0 0 1.58496250072116 0
"s__venetianus" 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3.58496250072116 0 0 0 0 0 0 0 2 0 0 0
"s__veronii" 0 0 0 0 0 3.16992500144231 0 0 0 3.32192809488736 0 2.8073549220576 0 2.58496250072116 0 2.32192809488736 0 2.58496250072116 2 1.58496250072116 2.32192809488736 2.32192809488736 2 0 0 2.58496250072116 1 1 1.58496250072116 1.58496250072116 4 0 0 1.58496250072116 0 0 3 0 3 5.85798099512757 3.4594316186373 0 1.58496250072116
"s__viridans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1.58496250072116 0 0 1 0 0 0 0 1 0 0 0 0
"s__viridescens" 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 6 0 0 0 0 0 0 0 0 0
"s__viridiflava" 0 0 0 0 1 2.58496250072116 0 5.64385618977472 3.32192809488736 5.12928301694497 0 0 1 1 1 2 2.58496250072116 1 1 0 2 0 1 0 0 1 0 0 1 2.32192809488736 0 0 0 2.8073549220576 0 1 2.58496250072116 0 2.58496250072116 4.32192809488736 0 3.16992500144231 1
"s__wittichii" 0 0 3 1 0 0 1 0 0 0 1 0 0 3.4594316186373 0 1 2.32192809488736 0 0 0 3 0 0 0 0 2.58496250072116 0 0 0 3.16992500144231 0 0 0 0 0 0 1 0 2 0 0 0 0
"s__xenophagum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__yabuuchiae" 0 0 4.75488750216347 0 0 3 2 0 0 0 0 0 2.8073549220576 2.8073549220576 0 2 3.32192809488736 0 1 3.8073549220576 3.32192809488736 0 0 0 1.58496250072116 3 0 0 3.16992500144231 0 0 0 0 3.90689059560852 0 0 0 3.16992500144231 3 3.16992500144231 0 4.39231742277876 1
"s__yanoikuyae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__zavarzinii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__zeae" 0 0 0 0 1 1.58496250072116 0 0 3.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 5.35755200461808 2.32192809488736 0 0 1.58496250072116 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 1 0 4.95419631038687 0
"s__zeaxanthinifaciens" 2.32192809488736 0 0 0 0 0 1.58496250072116 0 0 2 0 0 0 0 3 0 3.90689059560852 0 0 3.70043971814109 0 0 1 0 0 0 0 0 0 0 3.16992500144231 0 0 0 3.8073549220576 0 0 1.58496250072116 2.8073549220576 7.4757334309664 0 0 2.32192809488736
