"Salti.Forehead" "Northwind.Forehead" "Stannes.Forehead" "Dias.Forehead" "Caravel.Forehead" "Buckinghan.Forehead" "Willowbe.Forehead" "Misty.Forehead" "Nyack.Forehead" "Bulls.Forehead" "Delmore.Forehead" "Elmira.Forehead" "Bjorkland.Forehead" "Overton.Forehead" "Charmark.Forehead" "Erlandson.Forehead" "Edenfield.Forehead" "Maryjane.Forehead" "Gigi.Forehead" "Devenwood.Forehead" "Zambom.Forehead" "Sandale.Forehead" "Foothill.Forehead" "Cedarhurst.Forehead" "Quinapoxet.Forehead" "Digregorio.Forehead" "Lassell.Forehead" "Balcom.Forehead" "Witch.Forehead" "Ronald.Forehead" "Eisenhower.Forehead" "Noel.Forehead" "Purchade.Forehead" "Slades.Forehead" "Burne.Forehead" "Bows.Forehead" "Brae.Forehead" "Claudett.Forehead" "Milne.Forehead" "Barefoot.Forehead" "Larcridge.Forehead" "Menekish.Forehead" "January.Forehead"
"s__porcinus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__porphyrae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__prausnitzii" 1 1 3.4594316186373 0 0 2.32192809488736 1 2.32192809488736 0 1 2 3.32192809488736 0 0 0 1.58496250072116 0 0 0 0 3.58496250072116 0 4.24792751344359 5.28540221886225 4 1.58496250072116 0 1 0 1 0 0 2.8073549220576 0 3 0 0 0 0 1 0 0 0
"s__producta" 1.58496250072116 0 2 2 4.16992500144231 0 2.8073549220576 0 0 0 0 2.8073549220576 0 1.58496250072116 0 0 0 3.32192809488736 0 0 3.32192809488736 1 0 1.58496250072116 0 1 0 0 3.90689059560852 2.32192809488736 0 0 0 2 2.32192809488736 0 0 0 2.58496250072116 0 0 0 1.58496250072116
"s__pseudolongum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__psychrolactophilus" 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 2 0 0 0 0 0 0
"s__psychrophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0
"s__psychrotolerans" 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__pulmonis" 0 0 0 0 0 0 0 0 0 0 3.70043971814109 0 1.58496250072116 0 0 1 4.8073549220576 2.32192809488736 0 1 2 1 0 1 3.90689059560852 3.16992500144231 0 0 0 0 0 2 0 0 1 2 0 0 0 0 4.4594316186373 0 0
"s__ramosa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ramosum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rectus" 4.39231742277876 9.10852445677817 5.08746284125034 5 3.58496250072116 0 0 4.24792751344359 1 2.32192809488736 3.16992500144231 1.58496250072116 3.70043971814109 1.58496250072116 0 3.90689059560852 0 3.16992500144231 0 0 0 3.58496250072116 1.58496250072116 4.32192809488736 0 1 3.70043971814109 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0
"s__reuszeri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__reuteri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rhizophila" 2.58496250072116 1 0 2 0 1 7.25738784269265 5.64385618977472 1 4.75488750216347 4.90689059560852 4.32192809488736 4.16992500144231 0 3 0 4.24792751344359 6.22881869049588 2 0 0 1 5.28540221886225 4.39231742277876 5.4594316186373 3.58496250072116 0 3.32192809488736 4.75488750216347 0 3.16992500144231 0 1 2.8073549220576 1 5.39231742277876 6.8703647195834 5 6.3037807481771 0 3.8073549220576 0 0
"s__rhizosphaerae" 0 2.32192809488736 0 0 0 0 1 3 2 0 0 2.32192809488736 7.36632221424582 3.32192809488736 0 2.58496250072116 1.58496250072116 3.70043971814109 0 0 2.32192809488736 1 0 7.35755200461808 0 0 0 1 4.52356195605701 3 0 3.16992500144231 2.58496250072116 0 0 2.58496250072116 0 0 1 0 0 0 0
"s__rhizovicinus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rimae" 0 4.4594316186373 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 2 0 2.32192809488736 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0
"s__rosea" 0 0 0 0 0 0 0 0 0 0 1 5.70043971814109 1.58496250072116 1 0 0 3.4594316186373 0 0 0 0 0 2.8073549220576 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 2 0 0 0
"s__ruber" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rugosa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ruminis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rumoiensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__saccharolyticum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"s__salaria" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__salsilacus" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__SCA1145" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__SCA1170" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"s__schaedleri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__schindleri" 5.04439411935845 4.70043971814109 6.85798099512757 6.4262647547021 6.70043971814109 6.4594316186373 7.40087943628218 6.06608919045777 6 6.2667865406949 6.84549005094437 6.68650052718322 5.24792751344359 5.4594316186373 7.33985000288462 5.61470984411521 7.09803208296053 7.49185309632967 3.8073549220576 7.10852445677817 6.35755200461808 3.8073549220576 6.44294349584873 5.20945336562895 6.4262647547021 5.49185309632967 6.59991284218713 7.05528243550119 6.04439411935845 6.95419631038687 7.92481250360578 5.4262647547021 5.28540221886225 6.49185309632967 6.55458885167764 5.90689059560852 5.95419631038687 7.19967234483636 5.55458885167764 7.56224242422107 6.70043971814109 6.8703647195834 4.90689059560852
"s__sciuri" 1.58496250072116 0 1 0 1 0 1.58496250072116 2 0 0 3 2 2.58496250072116 0 0 0 2.8073549220576 0 1 0 1.58496250072116 1.58496250072116 1.58496250072116 1 1 1 1 2 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0
"s__segnis" 4.08746284125034 9.21431912080077 3.4594316186373 0 4.32192809488736 0 2.8073549220576 6.4262647547021 1 4.8073549220576 1.58496250072116 5.08746284125034 2.32192809488736 3.90689059560852 0 5.16992500144231 0 4.8073549220576 0 0 0 7.06608919045777 0 5.24792751344359 0 0 5.52356195605701 0 3.90689059560852 0 0 0 1 0 1 3 0 3.16992500144231 0 3.90689059560852 1 0 0
"s__selenatarsenatis" 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__serinedens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__shigelloides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__simulans" 2 3.70043971814109 6.44294349584873 5.20945336562895 3.32192809488736 4.52356195605701 3 8.79766152585376 2.32192809488736 6.20945336562895 5.04439411935845 7.3037807481771 6.78135971352466 6.32192809488736 5.35755200461808 4.64385618977472 7.63662462054365 5.08746284125034 2.8073549220576 3.32192809488736 6.76818432477693 5.08746284125034 5.58496250072116 6.94251450533924 6.84549005094437 5.08746284125034 4.24792751344359 5.4594316186373 3.16992500144231 7.70043971814109 5.58496250072116 5.52356195605701 6.56985560833095 5 2.58496250072116 8.76487159073609 4.24792751344359 1 2.8073549220576 2 7.96578428466209 1.58496250072116 6.22881869049588
"s__socranskii" 1.58496250072116 7.57742882803575 0 3.4594316186373 0 0 0 2 0 0 0 2.8073549220576 0 0 3.70043971814109 0 0 0 0 0 0 3 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__somerae" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stationis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stercorea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stercoris" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__stuartii" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 2 0 0 0 0 0 0 3 0 0
"s__stutzeri" 1 3.32192809488736 3.70043971814109 3.90689059560852 2.32192809488736 3.16992500144231 3 2.8073549220576 2 4.58496250072116 2.32192809488736 2.32192809488736 4.64385618977472 1.58496250072116 3.8073549220576 3.70043971814109 2 3.4594316186373 3 3 2 2.32192809488736 2.8073549220576 2 2.32192809488736 2.8073549220576 4.24792751344359 4.16992500144231 4.64385618977472 4.4594316186373 3.70043971814109 1.58496250072116 1 0 2.32192809488736 7.32192809488736 3.58496250072116 3 2.58496250072116 5.32192809488736 2.32192809488736 2.8073549220576 1.58496250072116
"s__stygium" 0 0 0 3.58496250072116 0 0 2.32192809488736 2 1 2.8073549220576 0 0 2 0 0 0 0 1 0 2.8073549220576 0 1 0 1.58496250072116 0 0 0 3.70043971814109 0 1.58496250072116 0 2 0 0 0 0 2.32192809488736 3.70043971814109 3.32192809488736 2.8073549220576 0 2.32192809488736 0
"s__subflava" 6 6.59991284218713 5.55458885167764 8.12412131182919 5.39231742277876 1 5.97727992349992 6.75488750216347 4.58496250072116 7.74146698640115 6.06608919045777 7.05528243550119 5.83289001416474 10.0834793273318 4.75488750216347 5.20945336562895 4.64385618977472 2.32192809488736 3.16992500144231 3.70043971814109 4.32192809488736 8.4262647547021 4.8073549220576 6.62935662007961 6.08746284125034 3.32192809488736 6.65821148275179 3 6.08746284125034 4.24792751344359 5 2.32192809488736 3.4594316186373 4.58496250072116 2 4.75488750216347 2 4.95419631038687 2.32192809488736 6.8703647195834 3.4594316186373 3 2
"s__subterminale" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__subterranea" 2.32192809488736 1 0 1 0 0 5.83289001416474 3 2 3.58496250072116 1.58496250072116 1.58496250072116 3.32192809488736 0 1.58496250072116 0 1 0 0 0 0 1.58496250072116 0 1 3 0 0 0 0 2.32192809488736 0 0 0 1.58496250072116 0 0 8.4262647547021 0 0 0 3 0 0
"s__succinicans" 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0
"s__succinus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__tannerae" 0 8.33985000288462 0 6.4262647547021 0 1 0 5.32192809488736 1.58496250072116 2.32192809488736 0 3 2.8073549220576 6.10852445677817 0 4.39231742277876 0 0 0 0 0 4.24792751344359 0 0 0 1 0 0 0 0 2 1.58496250072116 0 2.58496250072116 2 0 0 0 0 0 2 0 0
"s__Taxon" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__tenuis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__thermodenitrificans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__toletana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__torques" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__transvaalensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__tropica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__umsongensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__uniformis" 1 1 3.16992500144231 2.32192809488736 1 1.58496250072116 0 5.6724253419715 1.58496250072116 0 3.70043971814109 1 1.58496250072116 0 0 0 1.58496250072116 1.58496250072116 0 0 3.16992500144231 2 2.32192809488736 1 3.32192809488736 0 1 1.58496250072116 0 0 0 3.70043971814109 0 0 0 0 1 1 2.58496250072116 0 3 0 0
"s__variabile" 2 0 1 0 2 0 0 2.32192809488736 0 0 0 0 1 0 0 0 1.58496250072116 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1.58496250072116 0 1 0 2 1 0 0 0 1 0 0
"s__venetianus" 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"s__veronii" 0 0 1.58496250072116 1 0 0 1 0 1.58496250072116 4.08746284125034 2.58496250072116 0 5.08746284125034 0 0 0 0 1 3.8073549220576 0 2.58496250072116 0 1 1 1 1 0 5.78135971352466 0 0 0 0 1 0 0 1.58496250072116 1 0 0 0 1.58496250072116 0 0
"s__viridans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__viridescens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__viridiflava" 0 1 0 0 0 1.58496250072116 0 1 2.32192809488736 0 0 0 5.93073733756289 0 0 0 0 0 2.32192809488736 0 0 1 0 2.32192809488736 0 3.4594316186373 1.58496250072116 4.24792751344359 0 0 1 0 0 0 1 3.32192809488736 0 0 0 0 0 0 0
"s__wittichii" 1 0 1.58496250072116 0 0 0 1 0 0 0 0 3 0 0 0 1 0 0 0 0 0 1 0 2 0 1.58496250072116 0 0 0 3.90689059560852 0 0 1.58496250072116 0 0 2 0 0 0 2.8073549220576 0 0 0
"s__xenophagum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__yabuuchiae" 0 0 5.64385618977472 0 0 0 0 1.58496250072116 0 0 2.8073549220576 4 3.32192809488736 0 4.39231742277876 0 0 2 2.8073549220576 0 0 0 0 3.70043971814109 0 0 0 3.4594316186373 0 0 0 0 2.32192809488736 0 0 2 1 1.58496250072116 0 0 0 0 0
"s__yanoikuyae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__zavarzinii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__zeae" 0 0 0 0 0 0 0 0 1 0 3 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"s__zeaxanthinifaciens" 0 0 2 0 0 0 3.70043971814109 0 2.58496250072116 0 0 6.4093909361377 0 0 4.32192809488736 0 2.32192809488736 0 0 0 0 0 1 2 3 0 0 3.32192809488736 0 0 3.32192809488736 0 0 0 0 0 6.4757334309664 0 0 0 5.52356195605701 0 0
